Entity,Year,"Country code","Health Expenditure per capita (WDI)","Life Expectancy (at birth) World Bank data"
Algeria,1986,DZA,,64.86721951
Algeria,1987,DZA,,65.51019512
Algeria,1988,DZA,,66.02753659
Algeria,1989,DZA,,66.43368293
Algeria,1990,DZA,,66.75117073
Algeria,1991,DZA,,67.00312195
Algeria,1992,DZA,,67.21870732
Algeria,1993,DZA,,67.421
Algeria,1994,DZA,,67.6285122
Algeria,1995,DZA,249.7667511,67.84819512
Algeria,1996,DZA,233.6043267,68.07892683
Algeria,1997,DZA,253.5793964,68.30758537
Algeria,1998,DZA,265.2087169,68.52609756
Algeria,1999,DZA,261.3671052,68.73295122
Algeria,2000,DZA,273.6936125,68.93019512
Algeria,2001,DZA,317.8432075,69.12043902
Algeria,2002,DZA,326.9282162,69.30526829
Algeria,2003,DZA,340.6032765,69.4862439
Algeria,2004,DZA,354.2981587,69.66387805
Algeria,2005,DZA,348.2853159,69.83860976
Algeria,2006,DZA,372.6355859,70.00836585
Algeria,2007,DZA,442.9330314,70.17104878
Algeria,2008,DZA,497.5723964,70.32707317
Algeria,2009,DZA,616.2024766,70.47492683
Algeria,2010,DZA,591.1378899,70.61660976
Algeria,2011,DZA,647.4801972,70.75168293
Algeria,2012,DZA,781.0632207,70.88217073
Algeria,2013,DZA,778.0841639,71.00965854
Andorra,1995,AND,1469.42646,
Andorra,1996,AND,1616.671324,
Andorra,1997,AND,1807.157233,
Andorra,1998,AND,2332.794657,
Andorra,1999,AND,1828.948094,
Andorra,2000,AND,1954.982206,
Andorra,2001,AND,1907.790143,
Andorra,2002,AND,2084.270697,
Andorra,2003,AND,2132.825686,
Andorra,2004,AND,2213.508728,
Andorra,2005,AND,2390.07456,
Andorra,2006,AND,2765.22214,
Andorra,2007,AND,3018.039385,
Andorra,2008,AND,2941.127367,
Andorra,2009,AND,2898.392061,
Andorra,2010,AND,3337.289108,
Andorra,2011,AND,3379.246131,
Andorra,2012,AND,3907.455785,
Andorra,2013,AND,3338.031175,
Angola,1960,AGO,,32.98482927
Angola,1961,AGO,,33.38621951
Angola,1962,AGO,,33.78758537
Angola,1963,AGO,,34.18846341
Angola,1964,AGO,,34.59034146
Angola,1965,AGO,,34.99221951
Angola,1966,AGO,,35.39509756
Angola,1967,AGO,,35.79997561
Angola,1968,AGO,,36.20585366
Angola,1969,AGO,,36.6102439
Angola,1970,AGO,,37.01512195
Angola,1971,AGO,,37.42102439
Angola,1972,AGO,,37.82692683
Angola,1973,AGO,,38.22682927
Angola,1974,AGO,,38.61378049
Angola,1975,AGO,,38.97580488
Angola,1976,AGO,,39.301
Angola,1977,AGO,,39.58136585
Angola,1978,AGO,,39.81585366
Angola,1979,AGO,,40.00539024
Angola,1980,AGO,,40.1592439
Angola,1981,AGO,,40.28865854
Angola,1982,AGO,,40.408
Angola,1983,AGO,,40.5282439
Angola,1984,AGO,,40.65395122
Angola,1985,AGO,,40.77778049
Angola,1986,AGO,,40.8874878
Angola,1987,AGO,,40.97387805
Angola,1988,AGO,,41.03770732
Angola,1989,AGO,,41.08765854
Angola,1990,AGO,,41.13834146
Angola,1991,AGO,,41.20634146
Angola,1992,AGO,,41.31302439
Angola,1993,AGO,,41.47819512
Angola,1994,AGO,,41.7162439
Angola,1995,AGO,103.4492706,42.05146341
Angola,1996,AGO,79.23559369,42.50163415
Angola,1997,AGO,112.4933933,43.06212195
Angola,1998,AGO,121.502874,43.71426829
Angola,1999,AGO,108.0694391,44.439
Angola,2000,AGO,91.1358536,45.20478049
Angola,2001,AGO,161.4646405,45.97314634
Angola,2002,AGO,123.5559057,46.71173171
Angola,2003,AGO,155.6822433,47.39317073
Angola,2004,AGO,182.0014207,48.0035122
Angola,2005,AGO,172.9921002,48.53880488
Angola,2006,AGO,227.2472423,49.00704878
Angola,2007,AGO,205.8943825,49.43573171
Angola,2008,AGO,262.6156451,49.84739024
Angola,2009,AGO,298.1104557,50.25102439
Angola,2010,AGO,235.5556726,50.65417073
Angola,2011,AGO,244.2050529,51.05931707
Angola,2012,AGO,253.036264,51.464
Angola,2013,AGO,355.4323888,51.86617073
"Antigua and Barbuda",1960,ATG,,61.78273171
"Antigua and Barbuda",1961,ATG,,62.19541463
"Antigua and Barbuda",1962,ATG,,62.59853659
"Antigua and Barbuda",1963,ATG,,62.99258537
"Antigua and Barbuda",1964,ATG,,63.37858537
"Antigua and Barbuda",1965,ATG,,63.75607317
"Antigua and Barbuda",1966,ATG,,64.12556098
"Antigua and Barbuda",1967,ATG,,64.48807317
"Antigua and Barbuda",1968,ATG,,64.84212195
"Antigua and Barbuda",1969,ATG,,65.18919512
"Antigua and Barbuda",1970,ATG,,65.52934146
"Antigua and Barbuda",1971,ATG,,65.86202439
"Antigua and Barbuda",1972,ATG,,66.18826829
"Antigua and Barbuda",1973,ATG,,66.508
"Antigua and Barbuda",1974,ATG,,66.82178049
"Antigua and Barbuda",1975,ATG,,67.13007317
"Antigua and Barbuda",1976,ATG,,67.43339024
"Antigua and Barbuda",1977,ATG,,67.7307561
"Antigua and Barbuda",1978,ATG,,68.02263415
"Antigua and Barbuda",1979,ATG,,68.30953659
"Antigua and Barbuda",1980,ATG,,68.59197561
"Antigua and Barbuda",1981,ATG,,68.86895122
"Antigua and Barbuda",1982,ATG,,69.14092683
"Antigua and Barbuda",1983,ATG,,69.40792683
"Antigua and Barbuda",1984,ATG,,69.67046341
"Antigua and Barbuda",1985,ATG,,69.9285122
"Antigua and Barbuda",1986,ATG,,70.18256098
"Antigua and Barbuda",1987,ATG,,70.43263415
"Antigua and Barbuda",1988,ATG,,70.67973171
"Antigua and Barbuda",1989,ATG,,70.92282927
"Antigua and Barbuda",1990,ATG,,71.16295122
"Antigua and Barbuda",1991,ATG,,71.40058537
"Antigua and Barbuda",1992,ATG,,71.63470732
"Antigua and Barbuda",1993,ATG,,71.86585366
"Antigua and Barbuda",1994,ATG,,72.093
"Antigua and Barbuda",1995,ATG,617.0407769,72.31768293
"Antigua and Barbuda",1996,ATG,618.5448338,72.53885366
"Antigua and Barbuda",1997,ATG,644.3876285,72.75756098
"Antigua and Barbuda",1998,ATG,658.0606113,72.97378049
"Antigua and Barbuda",1999,ATG,685.3309063,73.18602439
"Antigua and Barbuda",2000,ATG,634.3236307,73.39729268
"Antigua and Barbuda",2001,ATG,671.6747064,73.60607317
"Antigua and Barbuda",2002,ATG,665.1945514,73.81339024
"Antigua and Barbuda",2003,ATG,720.623701,74.01921951
"Antigua and Barbuda",2004,ATG,747.7885241,74.22204878
"Antigua and Barbuda",2005,ATG,849.7668423,74.42185366
"Antigua and Barbuda",2006,ATG,957.7454821,74.61609756
"Antigua and Barbuda",2007,ATG,1063.761122,74.80478049
"Antigua and Barbuda",2008,ATG,1171.168882,74.98687805
"Antigua and Barbuda",2009,ATG,1063.321787,75.16241463
"Antigua and Barbuda",2010,ATG,1136.628426,75.33390244
"Antigua and Barbuda",2011,ATG,1128.361119,75.50036585
"Antigua and Barbuda",2012,ATG,1124.683481,75.66531707
"Antigua and Barbuda",2013,ATG,1020.915119,75.82929268
"Arab World",1960,,,46.74067149
"Arab World",1961,,,47.36800833
"Arab World",1962,,,47.9842105
"Arab World",1963,,,48.59209015
"Arab World",1964,,,49.19220957
"Arab World",1965,,,49.78083124
"Arab World",1966,,,50.35066536
"Arab World",1967,,,50.89961912
"Arab World",1968,,,51.43048715
"Arab World",1969,,,51.95135761
"Arab World",1970,,,52.47400664
"Arab World",1971,,,53.01386769
"Arab World",1972,,,53.57953525
"Arab World",1973,,,54.17155186
"Arab World",1974,,,54.78451189
"Arab World",1975,,,55.40965068
"Arab World",1976,,,56.03569505
"Arab World",1977,,,56.65347938
"Arab World",1978,,,57.26249233
"Arab World",1979,,,57.87004876
"Arab World",1980,,,58.48839927
"Arab World",1981,,,59.129009
"Arab World",1982,,,59.79506084
"Arab World",1983,,,60.48126764
"Arab World",1984,,,61.17204626
"Arab World",1985,,,61.84992751
"Arab World",1986,,,62.49501908
"Arab World",1987,,,63.09241042
"Arab World",1988,,,63.63233642
"Arab World",1989,,,64.11189938
"Arab World",1990,,,64.62570559
"Arab World",1991,,,65.00167323
"Arab World",1992,,,65.29119174
"Arab World",1993,,,65.62356247
"Arab World",1994,,,65.95948936
"Arab World",1995,,,66.33717076
"Arab World",1996,,,66.64932681
"Arab World",1997,,,66.94745484
"Arab World",1998,,,67.21345876
"Arab World",1999,,,67.46442632
"Arab World",2000,,,67.67854538
"Arab World",2001,,,67.87702172
"Arab World",2002,,,68.05807453
"Arab World",2003,,,68.22981798
"Arab World",2004,,,68.40875695
"Arab World",2005,,,68.59121058
"Arab World",2006,,,68.78735349
"Arab World",2007,,,68.98531579
"Arab World",2008,,,69.17849741
"Arab World",2009,,,69.37120207
"Arab World",2010,,,69.56064834
"Arab World",2011,,,69.73832617
"Arab World",2012,,,69.91267786
"Arab World",2013,,,70.08592474
Argentina,1960,ARG,,65.21553659
Argentina,1961,ARG,,65.3385122
Argentina,1962,ARG,,65.43260976
Argentina,1963,ARG,,65.50939024
Argentina,1964,ARG,,65.58241463
Argentina,1965,ARG,,65.66868293
Argentina,1966,ARG,,65.7822439
Argentina,1967,ARG,,65.93002439
Argentina,1968,ARG,,66.1134878
Argentina,1969,ARG,,66.33509756
Argentina,1970,ARG,,66.59082927
Argentina,1971,ARG,,66.87312195
Argentina,1972,ARG,,67.16795122
Argentina,1973,ARG,,67.46531707
Argentina,1974,ARG,,67.75865854
Argentina,1975,ARG,,68.04795122
Argentina,1976,ARG,,68.33670732
Argentina,1977,ARG,,68.62943902
Argentina,1978,ARG,,68.92663415
Argentina,1979,ARG,,69.22431707
Argentina,1980,ARG,,69.5144878
Argentina,1981,ARG,,69.78665854
Argentina,1982,ARG,,70.03531707
Argentina,1983,ARG,,70.257
Argentina,1984,ARG,,70.45419512
Argentina,1985,ARG,,70.63139024
Argentina,1986,ARG,,70.79907317
Argentina,1987,ARG,,70.9677561
Argentina,1988,ARG,,71.14590244
Argentina,1989,ARG,,71.33753659
Argentina,1990,ARG,,71.54365854
Argentina,1991,ARG,,71.76329268
Argentina,1992,ARG,,71.98895122
Argentina,1993,ARG,,72.21565854
Argentina,1994,ARG,,72.44139024
Argentina,1995,ARG,649.0826754,72.66460976
Argentina,1996,ARG,664.8712365,72.88531707
Argentina,1997,ARG,754.2387852,73.10397561
Argentina,1998,ARG,801.4655885,73.32007317
Argentina,1999,ARG,851.5356144,73.53412195
Argentina,2000,ARG,841.0113275,73.74565854
Argentina,2001,ARG,828.404231,73.95368293
Argentina,2002,ARG,658.9146916,74.15878049
Argentina,2003,ARG,717.0957894,74.35995122
Argentina,2004,ARG,794.0196708,74.55773171
Argentina,2005,ARG,903.1647555,74.75165854
Argentina,2006,ARG,993.4937721,74.94121951
Argentina,2007,ARG,1095.288761,75.12690244
Argentina,2008,ARG,1195.159403,75.30819512
Argentina,2009,ARG,1371.396156,75.48709756
Argentina,2010,ARG,1312.144646,75.66356098
Argentina,2011,ARG,1341.668938,75.83860976
Argentina,2012,ARG,1550.058306,76.01268293
Argentina,2013,ARG,1724.620655,76.18729268
Armenia,1960,ARM,,65.86346341
Armenia,1961,ARM,,66.28439024
Armenia,1962,ARM,,66.70985366
Armenia,1963,ARM,,67.13785366
Armenia,1964,ARM,,67.56541463
Armenia,1965,ARM,,67.99153659
Armenia,1966,ARM,,68.41473171
Armenia,1967,ARM,,68.8304878
Armenia,1968,ARM,,69.22926829
Armenia,1969,ARM,,69.60004878
Armenia,1970,ARM,,69.92426829
Armenia,1971,ARM,,70.18287805
Armenia,1972,ARM,,70.36734146
Armenia,1973,ARM,,70.47965854
Armenia,1974,ARM,,70.52634146
Armenia,1975,ARM,,70.53192683
Armenia,1976,ARM,,70.52941463
Armenia,1977,ARM,,70.54290244
Armenia,1978,ARM,,70.58297561
Armenia,1979,ARM,,70.64126829
Armenia,1980,ARM,,70.68453659
Armenia,1981,ARM,,70.66160976
Armenia,1982,ARM,,70.5355122
Armenia,1983,ARM,,70.29014634
Armenia,1984,ARM,,69.93568293
Armenia,1985,ARM,,69.5
Armenia,1986,ARM,,69.02429268
Armenia,1987,ARM,,68.56756098
Armenia,1988,ARM,,68.18209756
Armenia,1989,ARM,,67.8995122
Armenia,1990,ARM,,67.74780488
Armenia,1991,ARM,,67.73829268
Armenia,1992,ARM,,67.85334146
Armenia,1993,ARM,,68.06956098
Armenia,1994,ARM,,68.37665854
Armenia,1995,ARM,101.748279,68.76356098
Armenia,1996,ARM,100.5038085,69.21685366
Armenia,1997,ARM,106.3952356,69.71641463
Armenia,1998,ARM,116.0855032,70.24021951
Armenia,1999,ARM,120.7998835,70.76709756
Armenia,2000,ARM,144.8276591,71.27653659
Armenia,2001,ARM,154.9914323,71.75565854
Armenia,2002,ARM,162.6215125,72.2022439
Armenia,2003,ARM,195.5907214,72.61097561
Armenia,2004,ARM,220.2390229,72.97492683
Armenia,2005,ARM,247.9819851,73.28856098
Armenia,2006,ARM,253.1974189,73.54982927
Armenia,2007,ARM,279.4979552,73.76463415
Armenia,2008,ARM,269.7176127,73.94387805
Armenia,2009,ARM,280.0280553,74.09304878
Armenia,2010,ARM,291.1892177,74.21965854
Armenia,2011,ARM,252.9797758,74.33219512
Armenia,2012,ARM,332.4909914,74.43721951
Armenia,2013,ARM,351.3825924,74.5407561
Aruba,1960,ABW,,65.56936585
Aruba,1961,ABW,,65.98802439
Aruba,1962,ABW,,66.36553659
Aruba,1963,ABW,,66.71397561
Aruba,1964,ABW,,67.04429268
Aruba,1965,ABW,,67.3697561
Aruba,1966,ABW,,67.699
Aruba,1967,ABW,,68.03468293
Aruba,1968,ABW,,68.37714634
Aruba,1969,ABW,,68.72841463
Aruba,1970,ABW,,69.08614634
Aruba,1971,ABW,,69.44609756
Aruba,1972,ABW,,69.79865854
Aruba,1973,ABW,,70.13965854
Aruba,1974,ABW,,70.46529268
Aruba,1975,ABW,,70.77780488
Aruba,1976,ABW,,71.08082927
Aruba,1977,ABW,,71.37770732
Aruba,1978,ABW,,71.66978049
Aruba,1979,ABW,,71.95285366
Aruba,1980,ABW,,72.22014634
Aruba,1981,ABW,,72.46234146
Aruba,1982,ABW,,72.67319512
Aruba,1983,ABW,,72.84902439
Aruba,1984,ABW,,72.9897561
Aruba,1985,ABW,,73.09797561
Aruba,1986,ABW,,73.17936585
Aruba,1987,ABW,,73.24270732
Aruba,1988,ABW,,73.2962439
Aruba,1989,ABW,,73.3444878
Aruba,1990,ABW,,73.38997561
Aruba,1991,ABW,,73.43312195
Aruba,1992,ABW,,73.4717561
Aruba,1993,ABW,,73.50531707
Aruba,1994,ABW,,73.5357561
Aruba,1995,ABW,,73.56360976
Aruba,1996,ABW,,73.58943902
Aruba,1997,ABW,,73.61480488
Aruba,1998,ABW,,73.64229268
Aruba,1999,ABW,,73.67539024
Aruba,2000,ABW,,73.72060976
Aruba,2001,ABW,,73.78290244
Aruba,2002,ABW,,73.8652439
Aruba,2003,ABW,,73.96856098
Aruba,2004,ABW,,74.09085366
Aruba,2005,ABW,,74.22807317
Aruba,2006,ABW,,74.37570732
Aruba,2007,ABW,,74.5262439
Aruba,2008,ABW,,74.67421951
Aruba,2009,ABW,,74.81614634
Aruba,2010,ABW,,74.95202439
Aruba,2011,ABW,,75.08039024
Aruba,2012,ABW,,75.2067561
Aruba,2013,ABW,,75.33217073
Australia,1960,AUS,,70.81707317
Australia,1961,AUS,,70.97317073
Australia,1962,AUS,,70.94243902
Australia,1963,AUS,,70.91170732
Australia,1964,AUS,,70.88097561
Australia,1965,AUS,,70.8502439
Australia,1966,AUS,,70.8195122
Australia,1967,AUS,,70.86926829
Australia,1968,AUS,,70.91902439
Australia,1969,AUS,,70.96878049
Australia,1970,AUS,,71.01853659
Australia,1971,AUS,,71.06829268
Australia,1972,AUS,,71.45756098
Australia,1973,AUS,,71.84682927
Australia,1974,AUS,,72.23609756
Australia,1975,AUS,,72.62536585
Australia,1976,AUS,,73.01463415
Australia,1977,AUS,,73.34439024
Australia,1978,AUS,,73.67414634
Australia,1979,AUS,,74.00390244
Australia,1980,AUS,,74.33365854
Australia,1981,AUS,,74.66341463
Australia,1982,AUS,,74.90487805
Australia,1983,AUS,,75.14634146
Australia,1984,AUS,,75.38780488
Australia,1985,AUS,,75.62926829
Australia,1986,AUS,,75.87073171
Australia,1987,AUS,,76.15170732
Australia,1988,AUS,,76.43268293
Australia,1989,AUS,,76.71365854
Australia,1990,AUS,,76.99463415
Australia,1991,AUS,,77.27560976
Australia,1992,AUS,,77.37804878
Australia,1993,AUS,,77.87804878
Australia,1994,AUS,,77.87804878
Australia,1995,AUS,1625.28089,77.82926829
Australia,1996,AUS,1725.560252,78.07804878
Australia,1997,AUS,1811.523149,78.4804878
Australia,1998,AUS,1951.911652,78.63170732
Australia,1999,AUS,2085.835202,78.93170732
Australia,2000,AUS,2255.310358,79.23414634
Australia,2001,AUS,2388.017146,79.63414634
Australia,2002,AUS,2550.39311,79.93658537
Australia,2003,AUS,2657.338711,80.23902439
Australia,2004,AUS,2861.047274,80.4902439
Australia,2005,AUS,2961.281135,80.84146341
Australia,2006,AUS,3144.398002,81.04146341
Australia,2007,AUS,3315.994902,81.29268293
Australia,2008,AUS,3451.63277,81.39512195
Australia,2009,AUS,3687.460416,81.54390244
Australia,2010,AUS,3761.332963,81.69512195
Australia,2011,AUS,3983.712993,81.89512195
Australia,2012,AUS,4042.349998,82.04634146
Australia,2013,AUS,4191.090589,82.19756098
Austria,1960,AUT,,68.58560976
Austria,1961,AUT,,69.57731707
Austria,1962,AUT,,69.3095122
Austria,1963,AUT,,69.44365854
Austria,1964,AUT,,69.92195122
Austria,1965,AUT,,69.72219512
Austria,1966,AUT,,70.04585366
Austria,1967,AUT,,69.91780488
Austria,1968,AUT,,70.05756098
Austria,1969,AUT,,69.83317073
Austria,1970,AUT,,69.91463415
Austria,1971,AUT,,70.11463415
Austria,1972,AUT,,70.46341463
Austria,1973,AUT,,71.01463415
Austria,1974,AUT,,71.01219512
Austria,1975,AUT,,71.11463415
Austria,1976,AUT,,71.56585366
Austria,1977,AUT,,71.91463415
Austria,1978,AUT,,72.01219512
Austria,1979,AUT,,72.31219512
Austria,1980,AUT,,72.46341463
Austria,1981,AUT,,72.81219512
Austria,1982,AUT,,72.96097561
Austria,1983,AUT,,73.01219512
Austria,1984,AUT,,73.61219512
Austria,1985,AUT,,73.81463415
Austria,1986,AUT,,74.31707317
Austria,1987,AUT,,74.76829268
Austria,1988,AUT,,75.21707317
Austria,1989,AUT,,75.26585366
Austria,1990,AUT,,75.56829268
Austria,1991,AUT,,75.61707317
Austria,1992,AUT,,75.81707317
Austria,1993,AUT,,76.06829268
Austria,1994,AUT,,76.4195122
Austria,1995,AUT,2253.285382,76.66829268
Austria,1996,AUT,2325.373574,76.87073171
Austria,1997,AUT,2456.489336,77.3195122
Austria,1998,AUT,2616.84472,77.67073171
Austria,1999,AUT,2765.231617,77.87560976
Austria,2000,AUT,2904.391151,78.12682927
Austria,2001,AUT,2941.449451,78.57560976
Austria,2002,AUT,3090.902548,78.67804878
Austria,2003,AUT,3236.14161,78.63170732
Austria,2004,AUT,3436.302641,79.1804878
Austria,2005,AUT,3514.893075,79.33170732
Austria,2006,AUT,3747.867973,79.8804878
Austria,2007,AUT,3910.605458,80.1804878
Austria,2008,AUT,4188.105546,80.43170732
Austria,2009,AUT,4401.584611,80.33170732
Austria,2010,AUT,4516.830444,80.5804878
Austria,2011,AUT,4680.494064,80.98292683
Austria,2012,AUT,4812.307602,80.93658537
Austria,2013,AUT,4884.61831,80.8902439
Azerbaijan,1960,AZE,,60.8362439
Azerbaijan,1961,AZE,,61.23917073
Azerbaijan,1962,AZE,,61.64458537
Azerbaijan,1963,AZE,,62.052
Azerbaijan,1964,AZE,,62.45741463
Azerbaijan,1965,AZE,,62.86182927
Azerbaijan,1966,AZE,,63.26726829
Azerbaijan,1967,AZE,,63.66873171
Azerbaijan,1968,AZE,,64.05670732
Azerbaijan,1969,AZE,,64.41868293
Azerbaijan,1970,AZE,,64.73460976
Azerbaijan,1971,AZE,,64.98143902
Azerbaijan,1972,AZE,,65.14812195
Azerbaijan,1973,AZE,,65.23417073
Azerbaijan,1974,AZE,,65.24358537
Azerbaijan,1975,AZE,,65.18743902
Azerbaijan,1976,AZE,,65.08229268
Azerbaijan,1977,AZE,,64.95321951
Azerbaijan,1978,AZE,,64.8287561
Azerbaijan,1979,AZE,,64.72795122
Azerbaijan,1980,AZE,,64.68131707
Azerbaijan,1981,AZE,,64.71643902
Azerbaijan,1982,AZE,,64.83073171
Azerbaijan,1983,AZE,,65.00809756
Azerbaijan,1984,AZE,,65.22590244
Azerbaijan,1985,AZE,,65.42778049
Azerbaijan,1986,AZE,,65.54134146
Azerbaijan,1987,AZE,,65.52592683
Azerbaijan,1988,AZE,,65.36914634
Azerbaijan,1989,AZE,,65.08926829
Azerbaijan,1990,AZE,,64.74636585
Azerbaijan,1991,AZE,,64.42414634
Azerbaijan,1992,AZE,,64.2072439
Azerbaijan,1993,AZE,,64.15402439
Azerbaijan,1994,AZE,,64.28158537
Azerbaijan,1995,AZE,138.9559444,64.57582927
Azerbaijan,1996,AZE,149.9835947,64.994
Azerbaijan,1997,AZE,142.3970057,65.46239024
Azerbaijan,1998,AZE,156.6244086,65.92336585
Azerbaijan,1999,AZE,166.8349222,66.3554878
Azerbaijan,2000,AZE,163.8577754,66.7582439
Azerbaijan,2001,AZE,175.117816,67.15029268
Azerbaijan,2002,AZE,193.9586498,67.56107317
Azerbaijan,2003,AZE,319.7330745,68.00368293
Azerbaijan,2004,AZE,432.1978544,68.47019512
Azerbaijan,2005,AZE,553.0836304,68.93726829
Azerbaijan,2006,AZE,594.376794,69.37473171
Azerbaijan,2007,AZE,622.7231064,69.756
Azerbaijan,2008,AZE,596.4313967,70.06292683
Azerbaijan,2009,AZE,868.8929809,70.29265854
Azerbaijan,2010,AZE,830.6322625,70.45029268
Azerbaijan,2011,AZE,786.6597194,70.55129268
Azerbaijan,2012,AZE,878.402351,70.62495122
Azerbaijan,2013,AZE,956.6463065,70.69314634
Bahamas,1960,BHS,,62.72904878
Bahamas,1961,BHS,,63.0725122
